episode,reward
0,0.74825
1000,0.74275
2000,0.7465
3000,0.75325
4000,0.7475
5000,0.7505
6000,0.747
7000,0.752
8000,0.749
9000,0.75275
10000,0.75175
11000,0.74875
12000,0.74425
13000,0.749
14000,0.74975
15000,0.7455
16000,0.75325
17000,0.7605
18000,0.74825
19000,0.74325
20000,0.75575
21000,0.742
22000,0.743
23000,0.74525
24000,0.75625
25000,0.75375
26000,0.75075
27000,0.75175
28000,0.7465
29000,0.7555
30000,0.755
31000,0.75975
32000,0.75175
33000,0.74775
34000,0.75025
35000,0.758
36000,0.7445
37000,0.75675
38000,0.75675
39000,0.7555
40000,0.753
41000,0.74725
42000,0.749
43000,0.74975
44000,0.75175
45000,0.7545
46000,0.751
47000,0.74125
48000,0.7405
49000,0.75
50000,0.74875
51000,0.74725
52000,0.74425
53000,0.755
54000,0.75775
55000,0.75475
56000,0.758
57000,0.742
58000,0.75225
59000,0.752
60000,0.756
61000,0.75025
62000,0.74725
63000,0.754
64000,0.752
65000,0.74275
66000,0.753
67000,0.74375
68000,0.74925
69000,0.74975
70000,0.7545
71000,0.754
72000,0.73875
73000,0.75325
74000,0.74925
75000,0.751
76000,0.75025
77000,0.75475
78000,0.7515
79000,0.742
80000,0.74975
81000,0.75875
82000,0.7505
83000,0.75025
84000,0.751
85000,0.75725
86000,0.7545
87000,0.74325
88000,0.745
89000,0.75925
90000,0.76225
91000,0.74675
92000,0.75825
93000,0.75575
94000,0.748
95000,0.74925
96000,0.75075
97000,0.743
98000,0.75175
99000,0.75325
