episode,reward
399000,0.0435
400000,-0.0335
401000,0.1745
402000,0.2605
403000,0.313
404000,0.1285
405000,0.494
406000,-0.1155
407000,-0.003
408000,0.0785
409000,0.4165
410000,0.3895
411000,0.0275
412000,0.1455
413000,0.042
414000,-0.0235
415000,-0.17
416000,-0.3015
417000,-0.3495
418000,-0.2835
419000,-0.105
420000,-0.5525
421000,-0.1005
422000,-0.351
423000,-0.36
424000,0.4045
425000,0.5065
426000,-0.7675
427000,0.5505
428000,-0.207
429000,-0.4215
430000,-0.6605
431000,-0.262
432000,-0.5715
433000,-0.108
434000,-0.1035
435000,-0.0025
436000,0.0545
437000,0.15725
438000,0.3795
439000,0.4185
440000,0.08
441000,0.022
442000,0.121
443000,0.4155
444000,0.487
445000,0.288
446000,-0.0635
447000,0.0285
448000,-0.316
449000,-0.3215
450000,-0.4385
451000,-0.493
452000,-0.707
453000,-0.7845
454000,-0.255
455000,-0.202
456000,0.943
457000,0.295
458000,0.527
459000,0.0745
460000,0.1645
461000,0.045
462000,0.0035
463000,0.421
464000,0.5205
465000,-0.181
466000,-0.1
467000,0.13
468000,0.055
469000,0.0455
470000,0.391
471000,-0.0155
472000,0.388
473000,0.1515
474000,-0.3435
475000,-0.2335
476000,-0.0685
477000,-0.223
478000,-0.0375
479000,-0.579
480000,-0.3045
481000,-0.5735
482000,-0.43
483000,-0.102
484000,0.0465
485000,-0.072
486000,-0.068
487000,-0.2015
488000,-0.1045
489000,-0.2095
490000,-0.3115
491000,-0.3955
492000,-0.1445
493000,-0.311
494000,-0.262
495000,-0.293
496000,-0.123
497000,-0.1235
498000,0.12
499000,0.249
