episode,reward
0,-0.0875
1000,0.263
2000,0.3015
3000,0.57525
4000,0.52975
5000,0.64
6000,0.7015
7000,0.6275
8000,0.692
9000,0.697
10000,0.7435
11000,0.762
12000,0.6765
13000,0.619
14000,0.683
15000,0.7405
16000,0.711
17000,0.737
18000,0.7235
19000,0.7215
20000,0.6895
21000,0.779
22000,0.8275
23000,0.72
24000,0.7545
25000,0.803
26000,0.861
27000,0.742
28000,0.763
29000,0.7155
30000,0.7225
31000,0.7075
32000,0.864
33000,0.74
34000,0.839
35000,0.797
36000,0.8015
37000,0.7755
38000,0.816
39000,0.753
40000,0.7575
41000,0.72
42000,0.7135
43000,0.804
44000,0.704
45000,0.798
46000,0.775
47000,0.6555
48000,0.741
49000,0.6435
50000,0.8
51000,0.651
52000,0.7565
53000,0.69
54000,0.717
55000,0.7115
56000,0.6995
57000,0.7425
58000,0.7035
59000,0.691
60000,0.664
61000,0.5985
62000,0.7515
63000,0.7055
64000,0.697
65000,0.6925
66000,0.7235
67000,0.776
68000,0.696
69000,0.69
70000,0.651
71000,0.659
72000,0.7575
73000,0.7025
74000,0.7205
75000,0.7335
76000,0.7565
77000,0.623
78000,0.687
79000,0.6725
80000,0.705
81000,0.817
82000,0.7505
83000,0.7325
84000,0.791
85000,0.752
86000,0.7305
87000,0.74
88000,0.733
89000,0.6475
90000,0.718
91000,0.736
92000,0.764
93000,0.7185
94000,0.6865
95000,0.654
96000,0.709
97000,0.672
98000,0.7825
99000,0.682
